,Date,User,Tweet
0,2022-12-22 13:43:34+00:00,lIKFCTzXqZEI6z1,"@shingo19580312 森義朗暴言集

①日本は天皇中心の神の国
②(政治に興味のない人は)、寝ていてくれれば良い
③(浅田真央氏を指して)、あの子、すぐ転ぶんだよね
④女性の多く入る会議は、時間が長くなる"
1,2022-12-22 13:43:27+00:00,detcoder,"@exY4WHwJBP8NimA そうですねー、そうらしいんですけども、
実はそれは結構後（ここ数年）になってtaleができた後付け設定なんですよね( ´∀｀)
とはいえカルキスト絡みは非常に設定が生々しく（カルキストだけに）作られていて、とてもおもしろく読める作品群ですな。初期のシトラ・アキュラや三頭政治は燃えましたし→"
2,2022-12-22 13:43:26+00:00,TenzinMiyu,"🇨🇳Depending on the quality of pro-China politicians in your country, unfortunately, the ranks of honey traps in China can change extremely. 残念ながら、あなたの国の親中政治家の質によっては、中国におけるハニートラップのランクが大きく変わる可能性があります🐽
https://t.co/zH8YmPjdbm"
3,2022-12-22 13:43:24+00:00,w_history_joke,"【恐怖政治】
ジャコバン派による独裁体制のこと。
民衆を大切にし過ぎてブルジョワジーをないがしろにしちゃったんだ！！"
4,2022-12-22 13:43:21+00:00,shobontm,"手遅れ。
もたもたしてる間に次のステージに移った。
一般国民の一部にすら、自らの生命を懸ける人が出始めている。あなたの政治家としての価値はあるのか？
政治家は命を狙われるくらいに真剣にやって頂きたい。

安倍晋三氏のように。 https://t.co/PXJA9hFwmW"
5,2022-12-22 13:43:21+00:00,jari3ps,"@ohtsubakiyuko @martin19191 こういうのは（党派性や思想信条抜きにして）徹底的に訴えるべきだと思います。本件については応援しています。

最近少し気になるのは政治家から（特に与党の）訴えられて、スラップだ！と叫ぶ一般人以上の方々。正当な訴えとスラップと境界線はどのあたりにあるのでしょうかね…"
6,2022-12-22 13:43:16+00:00,NbobFu,"もう、無闇矢鱈に、政治家のポスター

貼らん方がいいと思うに

どれ、張っても、全部不正解(｡ρω-｡)ﾊﾞｶﾄﾞﾓｶﾞ"
7,2022-12-22 13:43:16+00:00,SuperAlloyZZ,"政治家かから野心と私欲を切り離すことなどできない。政治自体が「汚い」行為であるがゆえに政治からは無縁の「国家元首」を設けることで独裁化を抑止する体制が「立憲君主制」だ。

「政治」も「大人の世界」も汚いがゆえに成り立つ存在だ。若者はその現実を今のうちに噛みしめるがいい。"
8,2022-12-22 13:43:14+00:00,seijiyougobot,「モラルハザード」セーフティネット・社会保障の充実によって社会的弱者の生活保障を高度にした結果、今度は人々がその生活保障をあてにして自己規律を失い、自ら社会的弱者に転落することを回避しようとせず、社会的弱者が増え続けるという問題・現象。最終的には社会保障制度自体の破綻を招き得る。
9,2022-12-22 13:43:12+00:00,Small_TP1,国際関係論じゃなくて各国政治を見ている人間としては自由世界の防衛というテーマを各国政治の2レベルゲームの中で維持可能なスローガンと政策に落とし込んでいくことが必要だと思う一方で、その2レベルゲームの内政側の抵抗勢力はまさにお前らじゃねーかという苛立ちは否めない
