,Tweet
0,フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か : 市況かぶ全力２階建 https://t.co/G7rsBib4wO
1,客観的な評価をしてるだけなのにクズ呼ばわり。あなた自身の岸田評価を述べればいいのに、それができないからかな？ https://t.co/pK1wQING8U
2,"@KonoBellYoko @MIKITO_777 都合の悪いことは黙ってるくせに、都合の良いことは声高く発言する
政治屋さんと同じやり方なんですよね
小説家さんの美点は反対意見の人を容易くブロックしないということぐらい"
3,"@91days_cafe @ACES444Trigger @YahooNewsTopics 居眠りこいて増税提案してる政治家に何か言いたい気持ちはわかるが、適材適所があるんでな。
皮肉って言葉を逃げ言葉にしちゃいかんよ。"
4,"@NaoKi39340431 なのでこうやってドテラ会員がやってる異常な行動を画像つきで発信していただけたのは非常にありがたいです。
ドテラ信者は権力者や政治家さんに擦り寄り広告塔に仕立てる人がいるのでやたら自然派であったり医療に対して批判的でアロマを勧めてくる支持者が近づいてきた場合は用心された方が良いです"
5,@tweetsoku1 政治家と言う名の魔物たち、いよいよ本性を表してきたな
6,"JICAのプログラムで共産圏の国行った時、何もかも管理されてて、日本はこうなって欲しくはないなとは思った。

しかも、その国だけかもだけど、政治の影響力が強過ぎて、優秀な民間人が潰されてた感あったな。

日本くらい自由な方がいいよ。"
7,"ふくしまは東日本大震災と原発の水素爆発を目の当たりにして県民は二度絶望した

なに？原発再稼働？いつどこで議論されてた？
僕は60年前のガラクタ原子力発電所の再稼働を断固反対します

政治のセンスがない自民党がなんでこの国の未来を決めてるのかほんと納得できない

 #原発再稼働に反対します"
8,"綾小路パパ、劣悪な環境から政治家として成功してる時点で『持てる者』だと思うんだけど笑
ラノベ版小室圭やん。"
9,「私」という男の生涯 https://t.co/FtI59D4E35 弟・裕次郎や家族への愛と感謝、文学・政治への情熱と悔恨、通り過ぎていった女たちへの思慕と感傷……。太陽のような輝きで、この国を照らし続けた男が死して初めて明かす「わが人生の証明」
10,"2022*12*22*22*50
【ドル円】132.339 ▼0.01% -0.019
【ユーロ円】140.475 △0.04% +0.058
【ユーロドル】1.0615 △0.10% +0.0011
  https://t.co/CqYBkNfIDB #為替 #ドル円 #usdjpy"
11,よく政治とか社会に中指立てるロッカーはいるけど僕はこういう時間を歌えるロッカーが大好きですね
12,"@gomatsuo 

国際政治チャンネル楽しみにしております！"
13,"@happyakkey1975 当アカウントの立ち位置（不偏不党、公平中立、ただし民主主義が衰退し、国民の政治参加の権利が侵害される事案については、一言物申す）的には、「どの議員の方にも一定の距離感を保つ」上で「先生」と言う呼称に統一しています。

ただし、ご意見も有権者の民意のひとつとして理解しています😄"
14,この人を怒るなら今の日本政治家全員に怒れよ、マジで https://t.co/Pv76bTdl6n
15,情報公開法:外国人､未成年OK
16,"@tsuisoku777 @volamende 偽善でええやんけ。
売名する程廃れてる訳でもなく自費でやってるし。　公金ちゃうやろ？
杉様もそうやしなんの文句が？
寄付や公金ちゃうやろ？
ワールドカップの後の渋谷も仲間達とゴミ掃除してたぞ。
炊き出しに顔出して寄付募る政治家よりよっぽど立派。"
17,"新札にQRコード対応すれば良いのにね。難読の漢字でも当選してる政治家って怪しく無い？
どうなってんだろって普通に疑問だよ。細川内閣の時、本物の着エロだって言って江戸時期の幽霊の寝巻きとか言って展示されたよね。どんだけなんだ日本って思ったよ。"
18,"@Y7PkfvsZJVbL0tG @matthew_hide 個人間の金銭貸借を第三者が出してきているので、あまり深追いはしない事にしてます。私は。
ただ、政治家が全て綺麗かと言われれば、決してそうでない方もいると思います。
因みに私は黒川幹事長は苦手です。"
19,京都市長選へ日本維新の会が「足場固め」　地方選挙の候補倍増、他党危機感｜社会｜地域のニュース｜京都新聞 https://t.co/4SUl0HVW9r
20,"12/22の22:30発表の米GDPや物価の指標、失業保険申請等
全般的に経済が強く物価は高いという結果。
私のJCショートも捕まったと思ったら、
株価はそのまま下へ抜けていきましたね。助かった。
とりあえず、まだグッドニュースは株価↓でいいらしい。 https://t.co/uyehBdGUgO"
21,"@ISOKO_MOCHIZUKI @ArcTimes1 だから…撃たせぬ外交が一番重要。

岸田総理は『国民を守る為に』敵基地への先制攻撃すら専守防衛の範囲と相手国からの反撃で国民が死ぬことは「ま、いっか！」
守りたいのは国民の命ではなく国家のプライド。

戦争をしないことが本当の『国民を守ること』それが政治家の最重要な仕事。"
22,小池とか都民ファなんかに期待してる人なんてさすがに残ってないんだから全部表に出して暴れるのが政治家として生き残れる道かもね。都民ファの議員は。
23,政治家の方の中には自衛隊の戦闘機に乗って安全性実証したり、詐欺グループに電話したりする方もいらっしゃるので、数日間豪邸離れて事故物件で庶民的な環境で過ごして安全性アピールしても誰も文句言わへんやろうし、国会で寝るなら事故物件で寝てw
24,日本が西欧的な基準で緊縮財政を取るようになったらその政治不信と分裂は今の我々が想像できないところまでいくのだろうか
25,"政治家の方の耳に、目に、この情報が入ったのです。
ご本人、ご家族も少しでも繋がりが出来たと希望を持てることでしょう。
政治家の方々を含め、発信して影響のある人たちがこの情報を受けて伝えてくれることで、どれだけ影響があるか想像すると素晴らしいことだと私は思います。 https://t.co/1MlUVe8zWR"
26,特定の宗教団体叩いて仕事した気になっていてはダメ。政治に近い団体は全て総点検するのは当然のこと https://t.co/6IqjPX0yUz
27,@libertar_maru @osumandorei 辛いねえ
28,穏便にね。創価学会は旧統一教会と違うのなら、そこをきちんと説明して、宗教をきちんとやらないとね。政治や芸能と一線を引いて、庶民を苦しめないようにしてください。 https://t.co/40Rj7HU5Iv
29,"ラーメンドリーム♪ラーメンドリーム♪
for　メンマ～♪
https://t.co/dW61nPHWMm"
30,@MIKITO_777 コロナで騒ぐ段階でなくなったっていう一つのあかしみたいなもん。過度な制限かどうかは分からんが、合理的でないのは確かだし。大体、医療逼迫はコロナのせいでなくて、政治のせいでしょ。
31,「次のWEF/ダボス会議は、2023年1月16日から20日にかけてクロスターズで開催される。腐敗した政治家、選挙で選ばれたわけでもないテクノクラート、メサイア コンプレックスの億万長者たちが、美徳、安全、便利さを装って、我々平民からさらに金を巻き上げる方法を議論する会議である。」 https://t.co/kcfZkPvaMP
32,"@qwerty53857 美味しんぼは特に最近政治色を
強く出して来てるような…🤔
食べ物漫画は誰がみても
美味しそ〜😍と思いながら
ダラダラ読むのが
ええと思うのですw"
33,政治学も査読に時間がかかるので、PhD一年目のうちに（できれば複数）教員との共著プロジェクトに参加し、二年目に自身の（あるいは院生同士の共著）論文を始めるよう勧めています。そうすると、1−2本の出版とR&amp;RをCVに書いてマーケットに出る見込みが立ちます。 https://t.co/JsWokaWWFh
34,"俺たちも自民党政治に倣って黒塗りの企画書とか、黒塗りの論文とか答案用紙とかを提出すればいいんでね？もちろん見積もりはどんぶり計算で領収書は白紙だよ？
それで首になったり逮捕されたりしたら「政治家たちは今もふんぞり返ってるのになんで俺たち国民だけが処罰されるんだ」とブチ切れよう！"
35,明日の政治理論のテストキモすぎ
36,@JXOHS1Q4vW5aeBK @new_kuranosuke @knightma310 それを政治家じゃない私に言われても困りますけど?
37,@jatjat42910030 うわキツいですね。週刊誌の記事に振り回される政治家か、、話のタネにはなれども、週刊誌を真剣な顔で出して来て「現実を見ろ」みたいな事言ってるの、恥ずかしくないんでしょうかね。。
38,ＤａｉＧｏ激怒の〝券なしグリーン車問題〟をＪＲ東海に直撃！ 緊急時でもダメ？｜東スポWEB https://t.co/tWGjfDRqPX
39,"戦争につなげようとしている岸田文雄氏、自民党を支持しない。日本国憲法にしたがった政治を、政治家は全員にもとめる。
#自民党が滅びなければ日本が滅ぶ https://t.co/qfb90RqFM9"
40,"【""統一教会""の献金などの活動を非難】紀藤正樹弁護士ら全国霊感商法対策弁護士連絡会が記者会見
https://t.co/UWfkQ72y1K

激震・旧統一教会と日本政治
https://t.co/u05G1Jj5w6

安倍元首相は死んで当然

22:50"
41,"国際政治チャンネル 2022.12.22. https://t.co/42PkVDYEtc
大忘年会2022

小泉悠: 東京大学先端研 専任講師
廣瀬陽子: 慶応大学教授
高橋杉雄: 防衛研究所防衛政策研究室長 https://t.co/RjUiKGucgt"
42,原子力発電は皆さんが考えるよりずっと安全。格納容器が破損するということは物理的に考えられない。(出典：元東京電力社員　大橋弘忠) https://t.co/GVfXGTQOrK #原発
43,来年は1993年の政界再編から30年。1990年代初頭、政治論壇の主流が念頭においていた「二大政党制」とは、本命与党の自民党に保守系改革政党が挑む広義の保守二大政党制だったと思います。そう考えると、新進党とは、「幻の保守二大政党制」を象徴したプロジェクトと感じます。https://t.co/5hEFrj4Zql
44,小泉先生、さっきまで国際政治chの番組でお酒飲んでらしたのでやや酔いか？
45,@ajiguchi 私もブロックされてしまいました。お返しはしておきますけどね。 https://t.co/dL3rVeW6Xa
46,"窓辺太郎に査察してほしい。

茂木外相の政治団体、使途不明の支出が１億2000万円以上　全体の97%占める：東京新聞 TOKYO Web https://t.co/8yBoBcsllC"
47,"どうして日本国民はこんなにもお行儀が良いのだろうか
この30年間、悪い政治影響で給料は30年前より下がったばかりでなく、税金と社会保険料の負担だけは増すばかり
そして岸田政権になってからは走行距離税を始め増税検討や増税加速している
なのになぜ暴動が起きないのか
#増税
#税金
#岸田政権"
48,@ensemble43530 その総理、知事、市長を支えるのは役所の人間。ITをいれるとここまでコンパクトに早く物事が進む。ITいれても議員がそのままでは何の役にも立たない。何の役にも立たない議員。何のために居るのか分からない議員。本当に削減しなければ！政治の在り方を大きく変換し地方ありきの日本を。地方のIT化。
49,けっこう裏では政治家と絡んで汚い稼ぎ方してるみたいだけどね https://t.co/DxXX9L803H
50,"@masanobu_ogura 保育の名を借りた教育訓練やら監査機関やらで予算を取りたいだけ
自民党の政治家は予算を取ったものが上に登れる理論"
51,"現行憲法の中身は時代が変わっても影響のない人権や生存権、政治権力暴走の抑止など概念的なものが明文化されている

時代により変わるものは一般法より優位な特別法で対応出来る

改憲は平和的な概念が壊されることを意味する"
52,"潘基文(1944-)韓

第八代国連事務総長。読みはバン・キムン。国連事務局は国連の一切の事務の総括を行う機関だが、総会や安全保障理事会との兼ね合いから、常任理事国や非常任理事国複数列席国などの強国からは選ばれないようになっている。"
53,"hoi4で試行錯誤してみればいいのにと思う政治家はたくさんいる。
置かれた状況の打破というところにだけフォーカスすると良くできているし、気付きを促される事もあると思うけれど、わざわざプレイしなくてもシュミレーションできる人が未来予想図を示して欲しいんだよなぁ。"
54,今はSEOと言うと少し意味が変わってきてるけど、議員HPやSNS発信連携（URL埋め込みなどのソーシャル対策）のアドバイスなど、政治資金規正法に違反しないように、ある意味ボランティアのようにやれる方法はないものか🤔
55,@himasoraakane イチ民間人がここまでできるのに、高いお給料貰っている政治家の先生方は、、、。
56,というか、安倍ちゃんて結局政権維持を最優先したために世論を気にしすぎた煮え切らない政治を続けてたんじゃないのかという気が最近してる
57,@myamaguchi15 釧路湿原って国立公園だろ…その周辺とはいえ…ダメだろ…推し進めた政治家、業者！責任取れるのか？タンチョウ鶴も来る自然だぞ！
