,Date,User,Tweet
0,2022-12-22 12:42:54+00:00,nekogotatu,"ただし、当件について
ひとつだけ言及させてもらいたい。

なぜ、Pythonが主流なんや...
(Discordに係るbot製作時の問題)"
1,2022-12-22 12:41:58+00:00,holiday303,"@python_lady おつかれ様です！
めちゃくちゃ綺麗！"
2,2022-12-22 12:41:41+00:00,turito99ona,@python_lady よっぽど美味しかったんですね〜^ ^ いいお嫁さん😊
3,2022-12-22 12:41:31+00:00,LEVEL6_144,今Pythonで集計用コード書いてるんだけどおそらく1000件全走査せざるを得ない状況になりそうでその辺の界隈の人たちに殺される
4,2022-12-22 12:40:43+00:00,Nonexp_ipi,"ある仕事でTwitterの情報収集をお願いされ、流石に何百何千あるかわからない情報を手作業でやるのは面倒くさいと思いPythonを使って自動でやってもらおうとしたらTwitter大先生はスクレイピングが禁止。
APIの申請をしないといけないらしく面倒くさいの重箱構造に陥り何も出来ていない。"
5,2022-12-22 12:40:00+00:00,xxTKNXIIIxx_fps,Pythonとか触ったことなかったけど、まぁなんとかなるもんやね
6,2022-12-22 12:38:29+00:00,investortat,"PythonでSUUMOをスクレイピングして賃貸物件情報を収集する方法について解説しました

短いコードでスクレイピングできてしまうPythonはやっぱり最強です

初心者でも学びやすい言語なのでオススメです
#駆け出しエンジニアと繋がりたい #Python #プログラミング初心者 
https://t.co/2sWPb3zSoE"
7,2022-12-22 12:37:08+00:00,nicolarchang666,DG Spider Het Clown Het Cryptic Ball Python by Jonathon Sell Reptiles - MorphMarket 淫紋ヘッドスタンプ https://t.co/7BWIPnuQsm
8,2022-12-22 12:36:33+00:00,booklist_blog,"""「いい感じに成長する」エンジニアのキャリアと学び方 - 2023年オススメPython本を添えて - Lean Baseball"" https://t.co/aZD1Iq9MDW"
9,2022-12-22 12:33:50+00:00,HeyHanachan,"Okapieさん、VBAもGASもPythonもしてるの！すごい！！
#ノンプロ研 #年末BT_A会場"
10,2022-12-22 12:31:43+00:00,shogo0x2e,いや、Python が快適すぎるんよ、list とか tuple とかその辺
11,2022-12-22 12:31:03+00:00,shogo0x2e,Python のオーバーヘッドが気になり始めたら C++ に戻るのでも遅くはないだろう
12,2022-12-22 12:31:02+00:00,takemoto_youdou,"【初心者は何から始めたら効率が良いのか？】
コンサルティングやプログラミング仕事は
Gから始めると儲かるかもしれない
https://t.co/QvI2ddr6oL

#Golang #Python #TypeScript"
13,2022-12-22 12:30:23+00:00,shogo0x2e,決めました、Python で競プロやります
14,2022-12-22 12:30:02+00:00,y__hayashi,"どんなサーバーでも使える
 https://t.co/ucQNXnxRkk
#buildree #php #Laravel #fuelphp #フレームワーク #apache #nginx #エンジニア #python #go #nodejs #プログラミング学習 #プログラミング初心者"
15,2022-12-22 12:29:25+00:00,wakara_nagomi,"プログラミング言語として習得必須になりつつあるPython。
他言語と比較し、Pythonでデータ分析を行う為に必要な事を学べます。

Pythonデータ分析超入門講義風景です。
https://t.co/vh044z94M5 #和から #集団セミナー #Python"
16,2022-12-22 12:26:35+00:00,nano8y,"Python勉強中
powerpointをPDF変換できた！

#Python　#プログラミング初心者 https://t.co/yCewjbozwL"
17,2022-12-22 12:26:09+00:00,kamikudakun,Pythonで点群処理ワンライナー https://t.co/rJdG02ZzOH #Python #numpy
18,2022-12-22 12:25:44+00:00,edanage_trpg,今はC#とphpとpythonしか触ってない
19,2022-12-22 12:25:41+00:00,pikopik76894561,"#Python 
#プログラミング独学
#プログラミング勉強中 
#プログラミング初心者 

本日も、継続して、Flaskを勉強中。
今、DB登録したものを編集できるようにしております。"
20,2022-12-22 12:25:38+00:00,aiueo4416kt,"PythonとRubyどっちがいいですかね？
今までの経歴を生かすならPythonだけど、楽しむならRubyのような。
皆さんはどちらを学びましたか？"
