,Date,User,Tweet
0,2022-12-22 13:34:00+00:00,bawhouse,"2022-12-22 22:33:59 のおすすめのアイテムは↓ 
お家時間を有効にクリエイティブに Pythonではじめるデスクトップアプリ開発入門 https://t.co/BtmyvOjebQ"
1,2022-12-22 13:33:49+00:00,mrc_je_cours,@DateTaiki めっちゃPython推しかと思ったらそうではなかったか
2,2022-12-22 13:33:12+00:00,hiro_4530,@kira_python 綺羅さん！サービス残業を率先するブラック社員だった僕も悪いんです…
3,2022-12-22 13:33:04+00:00,linear_tec,"Pythonソース・コード（2/2）

組み込みのC言語向けの支援ツールをPythonで書く．（よくある） https://t.co/nW4JLs4ARc"
4,2022-12-22 13:32:08+00:00,kamikudakun,"デジタル地図データベースHEREを動かしてみたいけどjsが書けないpythonユーザーのための記事 https://t.co/m6OyCIgykC #Python #Here #,"
5,2022-12-22 13:31:39+00:00,linear_tec,"Pythonソース・コードです（1/2）

行列Aはランダムなので正則にならない可能性もありますが，それも含めて数値計算プログラム側で判定すれば良いかと思います． https://t.co/EQVkS4BcDX"
6,2022-12-22 13:31:28+00:00,Ryooooooga,Python、numpyとか使い出すと操作がプリミティブな言語と比べて抽象化される分全然初心者向きじゃなくなるなというあれがある
7,2022-12-22 13:30:49+00:00,gz3_xw,"本日の勉強内容
Python3エンジニア認定実践試験

参考書読み込み（3周目）

17章 デバッグ
1章 Pythonの環境
18章 暗号関連"
8,2022-12-22 13:30:32+00:00,jnb2019,"Pythonハンディプログラミング事典 = Python Programing Handy Reference Manual / 山﨑貴史 ほか 執筆
東京 : 実教出版, 2022.11
https://t.co/fE2xeaSJqy
https://t.co/4xOd12x0yq"
9,2022-12-22 13:30:02+00:00,y__hayashi,"buildreeがサーバーの構築。貴方は開発に専念
 https://t.co/ucQNXnxRkk
#buildree #php #Laravel #fuelphp #フレームワーク #apache #nginx #エンジニア #python #go #nodejs #プログラミング学習 #プログラミング初心者"
